p0-g	NOTE	zfs version: zfs-2.3.2-2	
p0-g	NOTE	kernel: 6.12.101+deb13-amd64	
p0-g	NOTE	coreutils cp: cp (GNU coreutils) 9.7	
p0-g	NOTE	glibc: ldd (Debian GLIBC 2.41-12+deb13u3) 2.41

[31mPoC aborted (rc=141) at line 240[0m	
p0-g	NOTE	python3: Python 3.13.5	
p0-g	NOTE	vdevs: /dev/disk/by-id/scsi-36002248004b15f354038ec30c4cdcc6d /dev/disk/by-id/scsi-3600224801b119da9db3fc88bc4bd0afd	
p0-g	PASS	created mirror test pool	
p0-g	PASS	both datasets live in the same pool	= depsistest
p0-g	NOTE	block_cloning pool feature: enabled	
p0-g	NOTE	fallocate(2) preallocation works on this ZFS build	apparent=1048576 allocated=1*512
p0-g	NOTE	st_dev of /srv/depsis-poc/users/1001 = 58 ; st_dev of /srv/depsis-poc/users/1002 = 59	
p0-g	PASS	the two datasets report different st_dev (each dataset is its own superblock)	= 59
p0-g	PASS	raw rename(2) from one dataset into another in the SAME pool → EXDEV	ERRNO:EXDEV
p0-g	PASS	bind mount of the SAME dataset reports the SAME st_dev	= 58
p0-g	PASS	rename(2) across a bind mount of the same dataset (same st_dev!) → EXDEV	ERRNO:EXDEV
p0-g	NOTE	confirmed: the kernel test is mount identity, not device identity	
p0-g	PASS	mv across datasets SUCCEEDS (userspace fallback) where rename(2) failed	rc=0
p0-g	PASS	mv produced a NEW inode — it copied, it did not rename	= 5
p0-g	NOTE	inode before mv=128, after mv=5	this is why the PoC uses raw rename(2) and never mv
p0-g	NOTE	created 1024 MiB staging file in 3745 ms (includes /dev/urandom cost)	
p0-g	NOTE	dataset used grew by 1074470912 bytes for a 1073741824 byte file	
p0-g	PASS	the staging file really consumed pool space (space accounting is trustworthy)	
p0-g	PASS	intra-dataset rename(2) from .depsis/staging into the visible tree	OK
p0-g	NOTE	intra-dataset rename of 1024 MiB took 18 ms	
p0-g	PASS	rename preserved the inode (nothing was copied)	= 6
p0-g	PASS	rename preserved the size	= 1073741824
p0-g	PASS	rename consumed no measurable space	delta=0 bytes
p0-g	NOTE	full intra-dataset copy of 1024 MiB took 622 ms	this is the cost ADR-0008 is claiming to eliminate
p0-g	PASS	rename is O(1): 18 ms vs a 622 ms copy (bound 50 ms)	
p0-g	PASS	cp --reflink=always ACROSS datasets must fail → EXDEV	cp: failed to clone '/srv/depsis-poc/users/1002/Documents/clone.bin' from '/srv/depsis-poc/users/1001/Documents/big.published': Invalid cross-device link
p0-g	NOTE	intra-dataset cp --reflink=always SUCCEEDS (block cloning is usable within a dataset)	
p0-g	NOTE	cross-dataset cp --reflink=auto: rc=0, 79 ms, destination used grew 1074470912 bytes	
p0-g	PASS	--reflink=auto silently performed a FULL copy across datasets	it wrote ~1074470912 bytes and reported success
p0-g	PASS	control: RENAME_NOREPLACE works on tmpfs — the probe itself is sound	OK glibc renameat2()
p0-g	PASS	control: RENAME_NOREPLACE onto an existing name on tmpfs → EEXIST	ERRNO:EEXIST glibc renameat2()
p0-g	NOTE	ZFS renameat2(RENAME_NOREPLACE), destination absent: OK glibc renameat2()	
p0-g	PASS	ZFS accepts RENAME_NOREPLACE when the destination is absent	OK glibc renameat2()
p0-g	NOTE	ZFS renameat2(RENAME_NOREPLACE), destination present: ERRNO:EEXIST glibc renameat2()	
p0-g	PASS	ZFS answers EEXIST — real RENAME_NOREPLACE support	ADR-0008 section 4 needs updating
p0-g	PASS	link(2) succeeds when the destination does not exist	OK
p0-g	PASS	the link points at the same inode	= 387
